Asset Id,Address,Polygon,Zone,Section,Mode of operation,Controller Type,State/County,systemControl,constructionStatus,municipality,Latitude,Longitude,Ramp_Indicator
3125,LeJeune Rd & NW 31 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.803473,-80.2645,1
3156,Lee Dr & NW 36 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.808249,-80.269615,0
4957,South River Dr @ NW 4000 Blk,37,5,11,SCOOT,D170,County,ATMS,Existing,Miami Springs,25.807781,-80.26214,0
6405,LeJeune Rd & NW 28 St,37,5,11,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.800972,-80.26449,0
2994,Quail Roost Dr & US - 1,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.596088,-80.35535,0
3224,Franjo Rd & US - 1 Evergreen St,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.606201,-80.348595,0
3348,Homestead Av / Jessamine St / Kumquat St,63,9,12,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.603094,-80.3546,0
3556,US - 1 NB & SW 174 St,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.60834,-80.347626,0
3557,Hibiscus St & US - 1 SB,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.604418,-80.35157,0
3558,Hibiscus St & US - 1 NB,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.60387,-80.3502,0
3566,Banyan St & US - 1 SB,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.60858,-80.34963,0
3641,Homestead Av & Quail Roost Dr,63,9,12,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.596138,-80.35787,0
3872,Marlin Rd & US - 1,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Cutler Bay,25.589037,-80.3596,0
4535,Coral Reef Dr @ SW 9200 Blk,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.628891,-80.34215,0
4712,US - 1 & SW 184 St,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.59859,-80.35419,0
4713,Homestead Av & SW 184 St,63,9,12,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.59851,-80.35674,0
5462,US - 1 @ SW 19500 Blk,63,9,12,SCOOT,D170,State,Centracs,Existing,Cutler Bay,25.587309,-80.361244,0
5562,Richmond Dr & S Dade Bswy,63,9,12,SCOOT,2070 LX,County,Centracs,Existing,Palmetto Bay,25.613903,-80.348335,0
5563,Banyan St & S Dade Bswy,63,9,12,SCOOT,2070 LX,County,Centracs,Existing,Palmetto Bay,25.60897,-80.35065,0
5564,Hibiscus St & S Dade Bswy,63,9,12,SCOOT,2070 LX,County,Centracs,Existing,Palmetto Bay,25.604786,-80.35258,0
