asset,polygon,perm_phs,veh_phs,ped_phs,excls_ped_phs,excl_phs,exc_veh_phs_id,excl_ped_phs_in_ovrlp,excl_veh_phs_in_ovrlp,midblock,excl_ped,ped_variant,x_ped_type,ped_note,lpi_adw,lpi_adw_cmmnt,apv,apv_comment,bos,awb,awb_comment,preempt,loc_preempt,rmt_preempt,prempt_comment,num_ovrlp,ovrlp,mltpl_ovrlp,lead_lag,ppin,ppin_id
6944,Other,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 3, 4, 5, 6, 8]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,1,Yes,No,No,No,[]
6946,Other,"[2, 6, 8]","[2, 6, 8]","[2, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6947,Other,"[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6949,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6950,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6951,Other,"[1, 2, 5, 6, 7, 8]","[1, 2, 5, 6, 7, 8]","[2, 7]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
6952,7,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6953,Other,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 3, 4, 5, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6954,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6955,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6956,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]","[2, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
