,Asset Id,Address,Latitude,Longitude,proposed_MoO
1232,3008,SW 16 St / SW 59 Av / SW 60 Av,25.756136,-80.29267,SCOOT
1233,4557,NW 17 Av & NW 114 St,25.87874,-80.2265,NO SCOOT
1234,3009,SW 62 Av & SW 16 St,25.756039,-80.29567,SCOOT
1235,4558,NW 17 Av & NW 127 St,25.890375,-80.22704,NO SCOOT
1236,3552,Coral Way & SW 68 Av,25.748024,-80.30555,SCOOT
1237,4862,NW 12 Av & NW 111 St,25.876152,-80.21838,NO SCOOT
1238,3623,Coral Way & SR- 826 NB,25.74812,-80.31824,SCOOT
1239,6317,NW 17 Av & NW 131 St,25.893995,-80.227234,NO SCOOT
1240,2477,Memorial Hwy & N Miami Av,25.910326,-80.19975,NO SCOOT
1241,3755,NW 2 Av & NW 159 St,25.920624,-80.20402,SCOOT
1242,3756,N Miami Av & N 159 St,25.92078,-80.2,SCOOT
1243,6961,NE 2 Av & NE 159 St,25.920948,-80.19598,NO SCOOT
1244,3157,NE 6 Av & NE 149 St,25.912117,-80.18748,NO SCOOT
1245,3248,NE 6 Av & NE 159 St,25.921236,-80.18793,NO SCOOT
1246,3577,NE 6 Av & NE 145 St,25.90851,-80.187294,NO SCOOT
1247,4367,NE 145 St / NE 6 Av / NE 7 Ct,25.908585,-80.18531,NO SCOOT
1248,2007,NE 12 Av & NE 159 St,25.921705,-80.17584,NO SCOOT
1249,3202,NE 18 Av / NE 160 St / NE 161 St,25.923717,-80.163925,NO SCOOT
1250,3294,NE 10 Av & NE 159 St,25.921526,-80.17988,NO SCOOT
1251,3437,NE 8 Av & NE 159 St,25.921366,-80.1839,NO SCOOT
1252,4317,NE 16 Av & NE 159 St,25.922098,-80.16785,NO SCOOT
1253,4507,NE 18 Av & NE 159 St,25.92225,-80.16384,NO SCOOT
1254,4705,NE 14 Av & NE 159 St,25.921896,-80.17185,NO SCOOT
1255,6143,NE 15 Av & NE 159 St,25.922014,-80.16985,NO SCOOT
1256,2556,W Dixie Hwy & NE 12 Av & NE 139 St,25.903564,-80.17497,NO SCOOT
1257,3132,W Dixie Hwy / NE 141 St / NE 142 St,25.905989,-80.17254,NO SCOOT
1258,3223,NE 12 Av / NE 146 St / NE 147 St,25.910097,-80.175285,NO SCOOT
1259,3601,W Dixie Hwy & NE 18 Av & NE 151 St,25.914804,-80.163475,NO SCOOT
1260,3724,W Dixie Hwy & NE 14 Av & NE 143 St,25.907352,-80.17115,NO SCOOT
1261,3953,W Dixie Hwy & NE 16 Av & NE 147 St,25.91106,-80.1673,NO SCOOT
